"","alk_site01","alk_site02","alk_site03","alk_site04","alk_site05","alk_site06","alk_site07","alk_site08","alk_site09","alk_site10","alk_site11","alk_site12","alk_site13","alk_site14","alk_site15","alk_site16","alk_site17","alk_site18","alk_site19","alk_site20","alk_site21","alk_site22","alk_site23","alk_site24","alk_site25","alk_site26","alk_site27","alk_site28","alk_site29","alk_site30","alk_site31","alk_site32","alk_site33","alk_site34","alk_site35","alk_site36","alk_site37","alk_site38","alk_site39","alk_site40","alk_site41","alk_site42","alk_site43","alk_site44","alk_site45","alk_site46"
"alk_site01",0,0.571428571428571,0.857142857142857,0.857142857142857,1,0.8,0.739130434782609,0.806451612903226,0.833333333333333,0.565217391304348,0.674418604651163,0.666666666666667,0.6,0.806451612903226,0.684210526315789,0.483870967741935,0.707317073170732,0.74468085106383,0.84,0.666666666666667,0.758620689655172,0.673469387755102,0.724137931034483,0.862068965517241,0.782608695652174,0.625,0.636363636363636,0.84,0.95,0.888888888888889,0.644444444444444,0.741935483870968,0.75609756097561,0.91304347826087,0.846153846153846,0.8,0.953488372093023,0.705882352941176,0.8,0.870967741935484,0.803921568627451,0.6875,0.833333333333333,0.655172413793103,0.777777777777778,0.793103448275862
"alk_site02",0.571428571428571,0,0.722222222222222,0.666666666666667,0.68,0.642857142857143,0.548387096774194,0.641025641025641,0.681818181818182,0.419354838709677,0.607843137254902,0.4375,0.534883720930233,0.743589743589744,0.481481481481482,0.487179487179487,0.551020408163265,0.636363636363636,0.696969696969697,0.590909090909091,0.696969696969697,0.649122807017544,0.621621621621622,0.783783783783784,0.703703703703704,0.65,0.658536585365854,0.515151515151515,0.791666666666667,0.692307692307692,0.622641509433962,0.743589743589744,0.63265306122449,0.806451612903226,0.766666666666667,0.631578947368421,0.882352941176471,0.619047619047619,0.791666666666667,0.897435897435897,0.728813559322034,0.7,0.785714285714286,0.675675675675676,0.846153846153846,0.72972972972973
"alk_site03",0.857142857142857,0.722222222222222,0,0.722222222222222,0.68,0.714285714285714,0.741935483870968,0.743589743589744,0.727272727272727,0.741935483870968,0.803921568627451,0.8125,0.813953488372093,0.743589743589744,0.62962962962963,0.692307692307692,0.877551020408163,0.818181818181818,0.757575757575758,0.727272727272727,0.787878787878788,0.754385964912281,0.945945945945946,0.837837837837838,0.925925925925926,0.8,0.707317073170732,0.575757575757576,0.583333333333333,0.692307692307692,0.773584905660377,0.794871794871795,0.795918367346939,0.806451612903226,0.766666666666667,0.736842105263158,0.803921568627451,0.857142857142857,0.75,0.897435897435897,0.796610169491525,0.85,0.857142857142857,0.891891891891892,0.923076923076923,0.945945945945946
"alk_site04",0.857142857142857,0.666666666666667,0.722222222222222,0,0.76,0.857142857142857,0.612903225806452,0.641025641025641,0.772727272727273,0.741935483870968,0.803921568627451,0.6875,0.767441860465116,0.692307692307692,0.777777777777778,0.794871794871795,0.755102040816326,0.781818181818182,0.757575757575758,0.772727272727273,0.757575757575758,0.824561403508772,0.783783783783784,0.783783783783784,0.888888888888889,0.85,0.804878048780488,0.636363636363636,0.75,0.769230769230769,0.735849056603774,0.794871794871795,0.63265306122449,0.741935483870968,0.766666666666667,0.789473684210526,0.725490196078431,0.714285714285714,0.791666666666667,0.846153846153846,0.830508474576271,0.9,0.75,0.783783783783784,0.923076923076923,0.945945945945946
"alk_site05",1,0.68,0.68,0.76,0,0.764705882352941,0.6,0.642857142857143,0.757575757575758,0.7,0.9,0.714285714285714,0.75,0.785714285714286,0.5,0.714285714285714,0.789473684210526,0.818181818181818,0.636363636363636,0.757575757575758,0.781818181818182,0.826086956521739,0.923076923076923,0.923076923076923,0.906976744186047,0.793103448275862,0.733333333333333,0.545454545454545,0.72972972972973,0.466666666666667,0.857142857142857,0.857142857142857,0.842105263157895,0.7,0.877551020408163,0.777777777777778,0.85,0.806451612903226,0.891891891891892,1,0.916666666666667,0.724137931034483,0.866666666666667,0.923076923076923,1,0.923076923076923
"alk_site06",0.8,0.642857142857143,0.714285714285714,0.857142857142857,0.764705882352941,0,0.739130434782609,0.806451612903226,0.833333333333333,0.739130434782609,0.813953488372093,0.75,0.771428571428571,0.806451612903226,0.684210526315789,0.741935483870968,0.804878048780488,0.787234042553192,0.76,0.777777777777778,0.793103448275862,0.755102040816326,0.862068965517241,0.655172413793103,0.782608695652174,0.6875,0.696969696969697,0.76,0.75,0.777777777777778,0.822222222222222,0.806451612903226,0.853658536585366,0.826086956521739,0.807692307692308,0.666666666666667,0.86046511627907,0.823529411764706,0.9,0.935483870967742,0.803921568627451,0.875,0.791666666666667,0.793103448275862,0.888888888888889,0.724137931034483
"alk_site07",0.739130434782609,0.548387096774194,0.741935483870968,0.612903225806452,0.6,0.739130434782609,0,0.705882352941176,0.743589743589744,0.538461538461538,0.739130434782609,0.555555555555556,0.631578947368421,0.764705882352941,0.545454545454545,0.588235294117647,0.727272727272727,0.76,0.714285714285714,0.692307692307692,0.737704918032787,0.730769230769231,0.8125,0.875,0.836734693877551,0.714285714285714,0.722222222222222,0.571428571428571,0.674418604651163,0.619047619047619,0.791666666666667,0.823529411764706,0.636363636363636,0.846153846153846,0.854545454545454,0.818181818181818,0.91304347826087,0.783783783783784,0.86046511627907,0.941176470588235,0.851851851851852,0.771428571428571,0.882352941176471,0.6875,0.904761904761905,0.9375
"alk_site08",0.806451612903226,0.641025641025641,0.743589743589744,0.641025641025641,0.642857142857143,0.806451612903226,0.705882352941176,0,0.404255319148936,0.705882352941176,0.592592592592593,0.6,0.739130434782609,0.380952380952381,0.6,0.619047619047619,0.538461538461538,0.586206896551724,0.611111111111111,0.617021276595745,0.623188405797101,0.666666666666667,0.6,0.75,0.578947368421053,0.720930232558139,0.772727272727273,0.444444444444444,0.450980392156863,0.586206896551724,0.535714285714286,0.571428571428571,0.538461538461538,0.705882352941176,0.555555555555556,0.51219512195122,0.518518518518519,0.555555555555556,0.568627450980392,0.571428571428571,0.67741935483871,0.674418604651163,0.457627118644068,0.8,0.793103448275862,0.65
"alk_site09",0.833333333333333,0.681818181818182,0.727272727272727,0.772727272727273,0.757575757575758,0.833333333333333,0.743589743589744,0.404255319148936,0,0.743589743589744,0.559322033898305,0.6,0.764705882352941,0.361702127659574,0.657142857142857,0.659574468085106,0.684210526315789,0.746031746031746,0.658536585365854,0.730769230769231,0.702702702702703,0.753846153846154,0.644444444444444,0.777777777777778,0.67741935483871,0.75,0.795918367346939,0.51219512195122,0.464285714285714,0.647058823529412,0.639344262295082,0.617021276595745,0.473684210526316,0.794871794871795,0.588235294117647,0.608695652173913,0.694915254237288,0.76,0.678571428571429,0.702127659574468,0.791044776119403,0.791666666666667,0.625,0.777777777777778,0.823529411764706,0.777777777777778
"alk_site10",0.565217391304348,0.419354838709677,0.741935483870968,0.741935483870968,0.7,0.739130434782609,0.538461538461538,0.705882352941176,0.743589743589744,0,0.565217391304348,0.555555555555556,0.526315789473684,0.764705882352941,0.363636363636364,0.470588235294118,0.681818181818182,0.68,0.642857142857143,0.58974358974359,0.704918032786885,0.653846153846154,0.8125,0.875,0.836734693877551,0.542857142857143,0.666666666666667,0.642857142857143,0.813953488372093,0.714285714285714,0.708333333333333,0.764705882352941,0.681818181818182,0.923076923076923,0.818181818181818,0.818181818181818,0.956521739130435,0.783783783783784,0.813953488372093,1,0.851851851851852,0.657142857142857,0.843137254901961,0.75,0.80952380952381,0.9375
